mjolnir_agnomens;original_samples;date;group;position
ULO1_sample_006;10_25_M1_A_C;2017_10_25;cage;cage_M1
ULO1_sample_007;10_25_M1_B_C;2017_10_25;cage;cage_M1
ULO1_sample_008;10_25_M1_C_C;2017_10_25;cage;cage_M1
ULO1_sample_011;10_25_M2_A_C;2017_10_25;cage;cage_M2
ULO1_sample_012;10_25_M2_B_C;2017_10_25;cage;cage_M2
ULO1_sample_013;10_25_M2_C_C;2017_10_25;cage;cage_M2
ULO1_sample_016;10_25_M3_A_C;2017_10_25;cage;cage_M3
ULO1_sample_017;10_25_M3_B_C;2017_10_25;cage;cage_M3
ULO1_sample_018;10_25_M3_C_C;2017_10_25;cage;cage_M3
ULO1_sample_021;10_25_N1_A_O;2017_10_25;outside;north
ULO1_sample_022;10_25_N1_B_O;2017_10_25;outside;north
ULO1_sample_023;10_25_N1_C_O;2017_10_25;outside;north
ULO1_sample_026;10_25_S1_A_O;2017_10_25;outside;south
ULO1_sample_027;10_25_S1_B_O;2017_10_25;outside;south
ULO1_sample_028;10_25_S1_C_O;2017_10_25;outside;south
ULO1_sample_046;10_15_M1_A_C;2017_10_15;cage;cage_M1
ULO1_sample_047;10_15_M1_B_C;2017_10_15;cage;cage_M1
ULO1_sample_048;10_15_M1_C_C;2017_10_15;cage;cage_M1
ULO1_sample_051;10_15_M2_A_C;2017_10_15;cage;cage_M2
ULO1_sample_052;10_15_M2_B_C;2017_10_15;cage;cage_M2
ULO1_sample_053;10_15_M2_C_C;2017_10_15;cage;cage_M2
ULO1_sample_056;10_15_M3_A_C;2017_10_15;cage;cage_M3
ULO1_sample_057;10_15_M3_B_C;2017_10_15;cage;cage_M3
ULO1_sample_058;10_15_M3_C_C;2017_10_15;cage;cage_M3
ULO1_sample_061;10_15_N1_B_O;2017_10_15;outside;north
ULO1_sample_062;10_15_N1_C_O;2017_10_15;outside;north
ULO1_sample_063;10_15_N1_D_O;2017_10_15;outside;north
ULO1_sample_075;10_15_S1_A_O;2017_10_15;outside;south
ULO1_sample_076;10_15_S1_B_O;2017_10_15;outside;south
ULO1_sample_077;10_15_S1_C_O;2017_10_15;outside;south
ULO2_sample_086;09_12_M1_A_C;2017_09_12;cage;cage_M1
